taxonomy_level,era,speech_type,source,target,shared_paragraphs,shared_speeches,jaccard,lift,source_marginal_rate,target_marginal_rate
level2,all,all,"Civil Rights, Voting Rights & Discrimination","Personal Narrative, Storytelling & Boasting",9,6,0.005434782608695652,0.5181328460193866,0.029948383891357754,0.016009274338237324
level2,all,all,"Civil Rights, Voting Rights & Discrimination",Presidential Humility & Reflection on Office,5,5,0.0028636884306987398,0.25068155713317003,0.029948383891357754,0.01838306329183803
level2,all,all,"Civil Rights, Voting Rights & Discrimination","Prosperity, Jobs & the Middle Class",28,23,0.011484823625922888,0.6770035738478428,0.029948383891357754,0.038118634243285765
level2,all,all,"Civil Rights, Voting Rights & Discrimination","Providence, Faith & American Ideals",116,77,0.028445316331535065,1.2458446045596772,0.029948383891357754,0.08581523089237904
level2,all,all,"Civil Rights, Voting Rights & Discrimination","Public Debt, Revenue & Treasury Finance",1,1,0.00040567951318458417,0.024178699065994385,0.029948383891357754,0.038118634243285765
level2,all,all,"Civil Rights, Voting Rights & Discrimination",Public Lands & Homestead Settlement,1,1,0.000657030223390276,0.07623466531995035,0.029948383891357754,0.012089762345082668
level2,all,all,"Civil Rights, Voting Rights & Discrimination",Reconstruction & Southern Self-Government,26,14,0.018452803406671398,2.480458196181699,0.029948383891357754,0.009660768997212178
level2,all,all,"Civil Rights, Voting Rights & Discrimination","Slavery, Emancipation & Sectionalism",23,16,0.011929460580912862,0.8868221921861198,0.029948383891357754,0.023903502718816416
level2,all,all,"Civil Rights, Voting Rights & Discrimination",Space Exploration,5,5,0.003837298541826554,0.7486722737699159,0.029948383891357754,0.006155289961080902
level2,all,all,"Civil Rights, Voting Rights & Discrimination","Tariffs, Reciprocity & Navigation Laws",7,7,0.0024691358024691358,0.1330310096021444,0.029948383891357754,0.04849706036600514
level2,all,all,"Civil Rights, Voting Rights & Discrimination","Taxes, Budget Deficits & Federal Spending",14,12,0.005054151624548736,0.27514477206706034,0.029948383891357754,0.0468961329321814
level2,all,all,"Civil Rights, Voting Rights & Discrimination","Territorial Organization, Statehood & Insular Governance",5,4,0.002730748225013654,0.22230881098627328,0.029948383891357754,0.020729250048303845
level2,all,all,"Civil Rights, Voting Rights & Discrimination","Treaties, Diplomacy & International Arbitration",9,6,0.0019501625135427952,0.08491580974604246,0.029948383891357754,0.09768417566038257
level2,all,all,"Civil Rights, Voting Rights & Discrimination","Trusts, Corporations & Antitrust",1,1,0.0006056935190793458,0.05889027056461772,0.029948383891357754,0.015650445775483728
level2,all,all,"Civil Rights, Voting Rights & Discrimination",Vietnam War,12,9,0.005277044854881266,0.3336298092603322,0.029948383891357754,0.03315023875900522
level2,all,all,"Civil Rights, Voting Rights & Discrimination","Welfare, Poverty & Economic Opportunity",68,45,0.03436078827690753,2.3602632763923084,0.029948383891357754,0.026553313643766042
level2,all,all,"Civil Rights, Voting Rights & Discrimination","World Order, Foreign Aid & Democracy Promotion",46,31,0.0178988326848249,1.0032501873718873,0.029948383891357754,0.042258963813519554
level2,all,all,"Civil Rights, Voting Rights & Discrimination",World War II Military Operations,3,3,0.0017584994138335288,0.16053261254874157,0.029948383891357754,0.017223771012172567
level2,all,all,Civil Service Reform & the Merit System,Conservation & the Environment,2,2,0.0018365472910927456,0.24453444028213694,0.014077120538794887,0.016036876535372217
level2,all,all,Civil Service Reform & the Merit System,Constitutional Union & Federalism,2,2,0.0010893246187363835,0.10698381762343491,0.014077120538794887,0.036655717795136496
level2,all,all,Civil Service Reform & the Merit System,"Crime, Insurrection & Federal Law Enforcement",8,5,0.004166666666666667,0.40077435769794517,0.014077120538794887,0.03913991553727677
level2,all,all,Civil Service Reform & the Merit System,Elections & Voting Integrity,9,9,0.00841908325537886,1.1255903065451534,0.014077120538794887,0.01567804797261862
level2,all,all,Civil Service Reform & the Merit System,"Executive Departments, Postal & Administrative Housekeeping",36,25,0.019271948608137045,1.8345345598784708,0.014077120538794887,0.038477462806039364
level2,all,all,Civil Service Reform & the Merit System,"Executive Power, Vetoes & the Courts",19,15,0.008911819887429643,0.8224910683347075,0.014077120538794887,0.04529520549835767
level2,all,all,Civil Service Reform & the Merit System,"Health Care, Medicare & Social Security",3,3,0.0017626321974148062,0.17833620477479695,0.014077120538794887,0.032984625576195865
level2,all,all,Civil Service Reform & the Merit System,Immigration & Border Security,1,1,0.0008375209380234506,0.10370402175468729,0.014077120538794887,0.018907505037400976
level2,all,all,Civil Service Reform & the Merit System,"Indian Affairs, Removal & Allotment",4,4,0.003352891869237217,0.4136084710448955,0.014077120538794887,0.01896270943167076
level2,all,all,Civil Service Reform & the Merit System,"Internal Improvements, Energy & Infrastructure",6,5,0.0026246719160104987,0.23918267643757837,0.014077120538794887,0.049187115294377436
level2,all,all,Civil Service Reform & the Merit System,"Labor, Wages & Working Conditions",9,9,0.006016042780748663,0.6425480342890927,0.014077120538794887,0.027464186149217477
level2,all,all,Civil Service Reform & the Merit System,"Military Preparedness, Armed Forces & Veterans",8,6,0.002201430930104568,0.1814489269526457,0.014077120538794887,0.08645008142648154
level2,all,all,Civil Service Reform & the Merit System,"Partisan Combat, Press Conferences & Media Attacks",8,6,0.003771805752003772,0.35101793651370367,0.014077120538794887,0.04468795716139005
level2,all,all,Civil Service Reform & the Merit System,Polygamy in the Territories,1,1,0.0017543859649122807,1.164545162327226,0.014077120538794887,0.0016837340252284082
level2,all,all,Civil Service Reform & the Merit System,Presidential Humility & Reflection on Office,1,1,0.000851063829787234,0.10666254489783902,0.014077120538794887,0.01838306329183803
level2,all,all,Civil Service Reform & the Merit System,"Prosperity, Jobs & the Middle Class",4,4,0.0021197668256491787,0.20575598813022675,0.014077120538794887,0.038118634243285765
level2,all,all,Civil Service Reform & the Merit System,"Providence, Faith & American Ideals",9,9,0.002493074792243767,0.20564017179724897,0.014077120538794887,0.08581523089237904
level2,all,all,Civil Service Reform & the Merit System,"Public Debt, Revenue & Treasury Finance",6,6,0.003183023872679045,0.3086339821953401,0.014077120538794887,0.038118634243285765
level2,all,all,Civil Service Reform & the Merit System,Public Lands & Homestead Settlement,1,1,0.0010559662090813093,0.16218551347479634,0.014077120538794887,0.012089762345082668
level2,all,all,Civil Service Reform & the Merit System,Reconstruction & Southern Self-Government,2,2,0.002331002331002331,0.40592717086834734,0.014077120538794887,0.009660768997212178
level2,all,all,Civil Service Reform & the Merit System,"Slavery, Emancipation & Sectionalism",4,3,0.0029154518950437317,0.3281166508173709,0.014077120538794887,0.023903502718816416
level2,all,all,Civil Service Reform & the Merit System,"Tariffs, Reciprocity & Navigation Laws",2,2,0.0008830022075055188,0.08086198622875446,0.014077120538794887,0.04849706036600514
level2,all,all,Civil Service Reform & the Merit System,"Taxes, Budget Deficits & Federal Spending",3,3,0.0013599274705349048,0.12543364608939517,0.014077120538794887,0.0468961329321814
level2,all,all,Civil Service Reform & the Merit System,"Territorial Organization, Statehood & Insular Governance",9,7,0.00718849840255591,0.8513119761886114,0.014077120538794887,0.020729250048303845
level2,all,all,Civil Service Reform & the Merit System,"Treaties, Diplomacy & International Arbitration",4,4,0.000988875154511743,0.08029076564222751,0.014077120538794887,0.09768417566038257
level2,all,all,Civil Service Reform & the Merit System,"Trusts, Corporations & Antitrust",2,2,0.0018604651162790699,0.2505723276965107,0.014077120538794887,0.015650445775483728
level2,all,all,Civil Service Reform & the Merit System,Vietnam War,1,1,0.0005847953216374269,0.059148422066578506,0.014077120538794887,0.03315023875900522
level2,all,all,Civil Service Reform & the Merit System,"Welfare, Poverty & Economic Opportunity",5,5,0.0034083162917518746,0.3692165015694428,0.014077120538794887,0.026553313643766042
level2,all,all,Civil Service Reform & the Merit System,"World Order, Foreign Aid & Democracy Promotion",1,1,0.0004901960784313725,0.0463992520587595,0.014077120538794887,0.042258963813519554
level2,all,all,"Coinage, Currency & Specie",Cold War & Great-Power Rivalry,2,2,0.0006901311249137336,0.054630075719706656,0.01570565016975351,0.06434072152143311
level2,all,all,"Coinage, Currency & Specie",Constitutional Union & Federalism,6,3,0.0031729243786356425,0.28767177673788297,0.01570565016975351,0.036655717795136496
level2,all,all,"Coinage, Currency & Specie","Executive Departments, Postal & Administrative Housekeeping",5,5,0.002553626149131767,0.2283764463820592,0.01570565016975351,0.038477462806039364
level2,all,all,"Coinage, Currency & Specie","Executive Power, Vetoes & the Courts",3,3,0.001359311282283643,0.11640101142836948,0.01570565016975351,0.04529520549835767
level2,all,all,"Coinage, Currency & Specie",Great Depression Recovery,7,5,0.007186858316221766,1.0817948367942398,0.01570565016975351,0.011372105219575478
level2,all,all,"Coinage, Currency & Specie","Health Care, Medicare & Social Security",2,2,0.0011350737797956867,0.10656293431182946,0.01570565016975351,0.032984625576195865
level2,all,all,"Coinage, Currency & Specie","Indian Affairs, Removal & Allotment",4,4,0.003194888178913738,0.3707211251896251,0.01570565016975351,0.01896270943167076
level2,all,all,"Coinage, Currency & Specie","Internal Improvements, Energy & Infrastructure",9,8,0.003842869342442357,0.3215724911682733,0.01570565016975351,0.049187115294377436
level2,all,all,"Coinage, Currency & Specie","Labor, Wages & Working Conditions",17,13,0.01098901098901099,1.087852266605435,0.01570565016975351,0.027464186149217477
level2,all,all,"Coinage, Currency & Specie","Military Preparedness, Armed Forces & Veterans",7,7,0.0018949648077964266,0.14230506793078762,0.01570565016975351,0.08645008142648154
level2,all,all,"Coinage, Currency & Specie",Monroe Doctrine & Latin American Policy,1,1,0.00046816479400749064,0.04060673038987124,0.01570565016975351,0.04328024510751056
level2,all,all,"Coinage, Currency & Specie",National Bank & Banking Crises,117,58,0.07758620689655173,7.054496525003995,0.01570565016975351,0.029147920174445886
level2,all,all,"Coinage, Currency & Specie","Partisan Combat, Press Conferences & Media Attacks",1,1,0.0004572473708276177,0.03932758076054237,0.01570565016975351,0.04468795716139005
level2,all,all,"Coinage, Currency & Specie",Polygamy in the Territories,1,1,0.001589825119236884,1.0437926762511165,0.01570565016975351,0.0016837340252284082
level2,all,all,"Coinage, Currency & Specie","Prosperity, Jobs & the Middle Class",6,6,0.0030864197530864196,0.27663151303976,0.01570565016975351,0.038118634243285765
level2,all,all,"Coinage, Currency & Specie","Providence, Faith & American Ideals",3,3,0.0008163265306122449,0.06143906714504802,0.01570565016975351,0.08581523089237904
level2,all,all,"Coinage, Currency & Specie","Public Debt, Revenue & Treasury Finance",83,48,0.044456347080878415,3.8267359303833475,0.01570565016975351,0.038118634243285765
level2,all,all,"Coinage, Currency & Specie",Public Lands & Homestead Settlement,6,6,0.005994005994005994,0.872210318511207,0.01570565016975351,0.012089762345082668
level2,all,all,"Coinage, Currency & Specie",Reconstruction & Southern Self-Government,1,1,0.0010893246187363835,0.18191815214662319,0.01570565016975351,0.009660768997212178
level2,all,all,"Coinage, Currency & Specie",Space Exploration,1,1,0.0012642225031605564,0.28552176345882563,0.01570565016975351,0.006155289961080902
level2,all,all,"Coinage, Currency & Specie","Tariffs, Reciprocity & Navigation Laws",27,21,0.0117442366246194,0.9784442446133117,0.01570565016975351,0.04849706036600514
level2,all,all,"Coinage, Currency & Specie","Taxes, Budget Deficits & Federal Spending",8,6,0.0035398230088495575,0.2998062542734225,0.01570565016975351,0.0468961329321814
level2,all,all,"Coinage, Currency & Specie","Territorial Organization, Statehood & Insular Governance",1,1,0.000758150113722517,0.08478209487525713,0.01570565016975351,0.020729250048303845
level2,all,all,"Coinage, Currency & Specie","Treaties, Diplomacy & International Arbitration",10,10,0.002440214738897023,0.17991340280112492,0.01570565016975351,0.09768417566038257
level2,all,all,"Coinage, Currency & Specie","Trusts, Corporations & Antitrust",2,2,0.001763668430335097,0.22459031129212734,0.01570565016975351,0.015650445775483728
level2,all,all,"Coinage, Currency & Specie",World War II Military Operations,1,1,0.0008389261744966443,0.10203742508224056,0.01570565016975351,0.017223771012172567
level2,all,all,Cold War & Great-Power Rivalry,"Commemoration, Eulogy & National Mourning",14,11,0.004709048099562731,0.33169449937742623,0.06434072152143311,0.018107041320489112
level2,all,all,Cold War & Great-Power Rivalry,Conservation & the Environment,7,6,0.0024096385542168677,0.18725610291875353,0.06434072152143311,0.016036876535372217
level2,all,all,Cold War & Great-Power Rivalry,Constitutional Union & Federalism,2,2,0.0005468963631391851,0.023407012864844187,0.06434072152143311,0.036655717795136496
level2,all,all,Cold War & Great-Power Rivalry,"Crime, Insurrection & Federal Law Enforcement",10,9,0.002674511901577962,0.10960688675780353,0.06434072152143311,0.03913991553727677
level2,all,all,Cold War & Great-Power Rivalry,Elections & Voting Integrity,2,2,0.0006903693476009665,0.05472625543048078,0.06434072152143311,0.01567804797261862
level2,all,all,Cold War & Great-Power Rivalry,"Executive Departments, Postal & Administrative Housekeeping",2,2,0.0005372011818426001,0.022298789874112684,0.06434072152143311,0.038477462806039364
level2,all,all,Cold War & Great-Power Rivalry,"Executive Power, Vetoes & the Courts",8,6,0.0020181634712411706,0.07576968454482165,0.06434072152143311,0.04529520549835767
level2,all,all,Cold War & Great-Power Rivalry,Great Depression Recovery,4,4,0.0014603870025556773,0.15089569458501498,0.06434072152143311,0.011372105219575478
level2,all,all,Cold War & Great-Power Rivalry,"Health Care, Medicare & Social Security",7,6,0.0019892014776925265,0.09104250694208854,0.06434072152143311,0.032984625576195865
level2,all,all,Cold War & Great-Power Rivalry,Immigration & Border Security,5,4,0.0016605778811026237,0.1134471280456682,0.06434072152143311,0.018907505037400976
level2,all,all,Cold War & Great-Power Rivalry,"Internal Improvements, Energy & Infrastructure",25,14,0.00611545988258317,0.21804512545253285,0.06434072152143311,0.049187115294377436
level2,all,all,Cold War & Great-Power Rivalry,"Iraq, Gulf Wars, the War on Terror & Interventions",38,32,0.011585365853658536,0.5983847503604343,0.06434072152143311,0.02724336857213834
level2,all,all,Cold War & Great-Power Rivalry,"Labor, Wages & Working Conditions",10,9,0.0030156815440289505,0.15620358333926174,0.06434072152143311,0.027464186149217477
level2,all,all,Cold War & Great-Power Rivalry,Middle East & Israel,91,56,0.031818181818181815,2.281202169911847,0.06434072152143311,0.017113362223633
level2,all,all,Cold War & Great-Power Rivalry,"Military Preparedness, Armed Forces & Veterans",225,125,0.0429553264604811,1.1165414182655562,0.06434072152143311,0.08645008142648154
level2,all,all,Cold War & Great-Power Rivalry,Monroe Doctrine & Latin American Policy,133,64,0.03531598513011153,1.3183164031378316,0.06434072152143311,0.04328024510751056
level2,all,all,Cold War & Great-Power Rivalry,National Bank & Banking Crises,2,2,0.0005908419497784342,0.029436091936091934,0.06434072152143311,0.029147920174445886
level2,all,all,Cold War & Great-Power Rivalry,Neutral Rights & Maritime Depredations,1,1,0.0003586800573888092,0.033935057952525195,0.06434072152143311,0.012641806287780508
level2,all,all,Cold War & Great-Power Rivalry,Nuclear Weapons & Arms Control,337,165,0.11533196440793976,5.644116869332387,0.06434072152143311,0.02561483894117972
level2,all,all,Cold War & Great-Power Rivalry,"Partisan Combat, Press Conferences & Media Attacks",57,21,0.014641664526072438,0.547194949295011,0.06434072152143311,0.04468795716139005
