story_era_key,story_era,era_start_year,era_end_year,rank,normalized_entity,display_entity,display_type,era_paragraphs,era_documents,era_denominator_paragraphs,other_paragraphs,other_denominator_paragraphs,paragraph_share,other_paragraph_share,log_odds,log_odds_standard_error,log_odds_z,ai_ner_paragraphs,ai_only_paragraphs,source_badge,evidence_ai_mention,evidence_ner_mention,evidence_ai_stance,evidence_doc_name,evidence_para_idx,evidence_document_title,evidence_source_url,evidence_speaker,evidence_document_owner,evidence_cross_owner,evidence_excerpt,min_eligible_paragraphs,min_eligible_documents,log_odds_prior_success,log_odds_prior_failure,schema_version
civil-war-reconstruction,Sectional crisis & constitutional rupture,1850,1868,1,southern people,Southern people,group,39,2,2610,0,29921,0.014942528735632184,0.0,6.823535751773653,1.423284495302084,4.7942177226664695,0,39,AI only,Southern people,,adversarial,/the-presidency/presidential-speeches/december-6-1864-fourth-annual-message,50,"December 6, 1864: Fourth Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-6-1864-fourth-annual-message,Abraham Lincoln,Abraham Lincoln,False,"Between him and us the issue is distinct, simple, and inflexible. It is an issue which can only be tried by war and decided by victory. If we yield, we are beaten; if the Southern people fail him, he is beaten. Either way it would be the victory and defeat following war. What is true, however, of him who heads the insurgent cause is not necessarily true of those who follow. Although he can not reaccept the Union, they can. Some of them, we know, already desire peace and reunion. The number of such may increase. They can at any moment have peace simply by laying down their arms and submitting to the national authority under the Constitution. Alter so much the Government could not, if it would, maintain war against them.",5,2,0.5,0.5,era-distinctive-reference-v1
civil-war-reconstruction,Sectional crisis & constitutional rupture,1850,1868,2,edwin m. stanton,Edwin M. Stanton,person,29,2,2610,0,29921,0.011111111111111112,0.0,6.527744104107618,1.4262955856176032,4.576711987284898,1,28,AI + NER,Edwin M. Stanton,EDWIN M. STANTON,adversarial,/the-presidency/presidential-speeches/december-12-1867-message-regarding-suspension-secretary,0,"December 12, 1867: Message Regarding the Suspension of Secretary Stanton",https://millercenter.org/the-presidency/presidential-speeches/december-12-1867-message-regarding-suspension-secretary,Andrew Johnson,Andrew Johnson,False,"To the Senate of the United States: On the 12th of August last I suspended Mr. Stanton from the exercise of the office of Secretary of War, and on the same day designated General Grant to act as Secretary of War ad interim. The following are copies of the Executive orders: EXECUTIVE MANSION, Washington, August 12, 1867. Hon. EDWIN M. STANTON, Secretary of War. SIR: By virtue of the power and authority vested in me as President by the Constitution and laws of the United States, you are hereby suspended from office as Secretary of War, and will cease to exercise any and all functions pertaining to the same. You will at once transfer to General Ulysses S. Grant, who has this day been authorized and empowered to act as Secretary of War ad interim, all records, books, and other property now in your custody and charge.",5,2,0.5,0.5,era-distinctive-reference-v1
civil-war-reconstruction,Sectional crisis & constitutional rupture,1850,1868,3,judge douglas,Judge Douglas,person,18,2,2610,0,29921,0.006896551724137931,0.0,6.056872537062144,1.4333433653176606,4.225695449966246,0,18,AI only,Judge Douglas,,adversarial,/the-presidency/presidential-speeches/june-16-1858-house-divided-speech,30,"June 16, 1858: ""A House Divided"" Speech",https://millercenter.org/the-presidency/presidential-speeches/june-16-1858-house-divided-speech,Abraham Lincoln,Abraham Lincoln,False,"They remind us that he is a very great man , and that the largest of us are very small ones. Let this be granted. But ""a living dog is better than a dead lion ."" Judge Douglas, if not a dead lion for this work , is at least a caged and toothless one. How can he oppose the advances of slavery? He don't care anything about it. His avowed mission is impressing the ""public heart"" to care nothing about it.",5,2,0.5,0.5,era-distinctive-reference-v1
civil-war-reconstruction,Sectional crisis & constitutional rupture,1850,1868,4,andrew johnson,Andrew Johnson,person,8,8,2610,0,29921,0.0030651340996168583,0.0,5.275318108088695,1.4553572501366467,3.6247581874439305,7,1,AI + NER,Andrew Johnson,Andrew Johnson,neutral,/the-presidency/presidential-speeches/april-2-1866-proclamation-end-confederate-insurrection,11,"April 2, 1866: Proclamation on the End of the Confederate Insurrection",https://millercenter.org/the-presidency/presidential-speeches/april-2-1866-proclamation-end-confederate-insurrection,Andrew Johnson,Andrew Johnson,False,"Whereas the policy of the Government of the United States from the beginning of the insurrection to its overthrow and final suppression has been in conformity with the principles herein set forth and enumerated: Now, therefore, I, Andrew Johnson, President of the United States, do hereby proclaim and declare that the insurrection which heretofore existed in the States of Georgia, South Carolina, Virginia, North Carolina, Tennessee, Alabama, Louisiana, Arkansas, Mississippi, and Florida is at an end and is henceforth to be so regarded. In testimony whereof I have hereunto set my hand and caused the seal of the United States to be affixed. Done at the city of Washington, this 2d day of April, A. D. 1866, and of the Independence of the United States of America the ninetieth. ANDREW JOHNSON. By the President: WILLIAM H. SEWARD, Secretary of State.",5,2,0.5,0.5,era-distinctive-reference-v1
civil-war-reconstruction,Sectional crisis & constitutional rupture,1850,1868,5,miramon,Miramon,person,6,2,2610,0,29921,0.0022988505747126436,0.0,5.006285924797893,1.4677409599397402,3.4108783916498666,3,3,AI + NER,Miramon,Miramon,adversarial,/the-presidency/presidential-speeches/december-19-1859-third-annual-message,46,"December 19, 1859: Third Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-19-1859-third-annual-message,James Buchanan,James Buchanan,False,"This assembly elected General Miramort, but that officer repudiated the plan under which he was chosen, and Zuloaga was thus restored to his previous position. He assumed it, however, only to withdraw from it; and Miramon, having become by his appointment ""President substitute,"" continues with that title at the head of the insurgent party.",5,2,0.5,0.5,era-distinctive-reference-v1
gilded-age,Administrative-industrial order,1869,1912,1,santo domingo,Santo Domingo,nation,12,6,6721,0,25810,0.0017854485939592323,0.0,4.56613277818851,1.442285611910696,3.1659005265534312,0,12,AI only,Santo Domingo,,neutral,/the-presidency/presidential-speeches/december-1-1873-fifth-annual-message,15,"December 1, 1873: Fifth Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-1-1873-fifth-annual-message,Ulysses S. Grant,Ulysses S. Grant,False,"I transmit herewith, for the consideration and determination of Congress, an application of the Republic of Santo Domingo to this Government to exercise a protectorate over that Republic. Since the adjournment of Congress the following treaties with foreign powers have been proclaimed: A naturalization convention with Denmark; a convention with Mexico for renewing the Claims Commission; a convention of friendship, commerce, and extradition with the Orange Free State, and a naturalization convention with Ecuador.",5,2,0.5,0.5,era-distinctive-reference-v1
gilded-age,Administrative-industrial order,1869,1912,2,mr. egan,Mr. Egan,person,10,3,6721,0,25810,0.00148787382829936,0.0,4.391481350657053,1.4475585781406808,3.0337158143179943,0,10,AI only,Mr. Egan,,favorable,/the-presidency/presidential-speeches/january-25-1892-message-regarding-valparaiso-incident,2,"January 25, 1892: Message Regarding Valparaiso Incident",https://millercenter.org/the-presidency/presidential-speeches/january-25-1892-message-regarding-valparaiso-incident,Benjamin Harrison,Benjamin Harrison,False,"I do not deem it necessary in this communication to attempt any full analysis of the correspondence or of the evidence. A brief restatement of the international questions involved and of the reasons why the responses of the Chilean Government are unsatisfactory is all that I deem necessary. It may be well at the outset to say that whatever may have been said in this country or in Chile in criticism of Mr. Egan, our minister at Santiago, the true history of this exciting period in Chilean affairs from the outbreak of the revolution until this time discloses no act on the part of Mr. Egan unworthy of his position or that could justly be the occasion of serious animadversion or criticism.",5,2,0.5,0.5,era-distinctive-reference-v1
gilded-age,Administrative-industrial order,1869,1912,3,filipinos,Filipinos,group,9,3,6721,0,25810,0.0013390864454694241,0.0,4.291248905210642,1.45101718722013,2.9574073574082536,9,0,AI + NER,Filipinos,Filipinos,neutral,/the-presidency/presidential-speeches/december-2-1902-second-annual-message,43,"December 2, 1902: Second Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-2-1902-second-annual-message,Theodore Roosevelt,Theodore Roosevelt,False,"On July 4 last, on the one hundred and twenty-sixth anniversary of the declaration of our independence, peace and amnesty were promulgated in the Philippine Islands. Some trouble has since from time to time threatened with the Mohammedan Moros, but with the late insurrectionary Filipinos the war has entirely ceased. Civil government has now been introduced. Not only does each Filipino enjoy such rights to life, liberty, and the pursuit of happiness as he has never before known during the recorded history of the islands, but the people taken as a whole now enjoy a measure of self-government greater than that granted to any other Orientals by any foreign power and greater than that enjoyed by any other Orientals under their own governments, save the Japanese alone.",5,2,0.5,0.5,era-distinctive-reference-v1
gilded-age,Administrative-industrial order,1869,1912,4,emperor of germany,Emperor of Germany,person,7,5,6721,0,25810,0.0010415116798095521,0.0,4.0545622199423015,1.4606577315279794,2.7758468889908006,0,7,AI only,Emperor of Germany,,neutral,/the-presidency/presidential-speeches/december-1-1873-fifth-annual-message,7,"December 1, 1873: Fifth Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-1-1873-fifth-annual-message,Ulysses S. Grant,Ulysses S. Grant,False,"By an act approved on the 14th day of February last Congress made provision for completing, jointly with an officer or commissioner to be named by Her Britannic Majesty, the determination of so much of the boundary line between the territory of the United States and the possessions of Great Britain as was left uncompleted by the commissioners appointed under the act of Congress of August 11, 1856. Under the provisions of this act the northwest water boundary of the United States has been determined and marked in accordance with the award of the Emperor of Germany. A protocol and a copy of the map upon which the line was thus marked are contained in the papers submitted herewith.",5,2,0.5,0.5,era-distinctive-reference-v1
gilded-age,Administrative-industrial order,1869,1912,5,white leagues,White Leagues,group,6,2,6721,0,25810,0.0008927242969796162,0.0,3.9113124559737287,1.4676627020565791,2.664994109677215,3,3,AI + NER,White Leagues,White Leagues,adversarial,/the-presidency/presidential-speeches/december-7-1874-sixth-annual-message,55,"December 7, 1874: Sixth Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-7-1874-sixth-annual-message,Ulysses S. Grant,Ulysses S. Grant,False,"I regret to say that with preparations for the late election decided indications appeared in some localities in the Southern States of a determination, by acts of violence and intimidation, to deprive citizens of the freedom of the ballot because of their political opinions. Bands of men, masked and armed, made their appearance; White Leagues and other societies were formed; large quantities of arms and ammunition were imported and distributed to these organizations; military drills, with menacing demonstrations, were held, and with all these murders enough were committed to spread terror among those whose political action was to be suppressed, if possible, by these intolerant and criminal proceedings. In some places colored laborers were compelled to vote according to the wishes of their employers, under threats of discharge if they acted otherwise; and there are too many instances in which, when these threats were disregarded, they were remorselessly executed by those who made them.",5,2,0.5,0.5,era-distinctive-reference-v1
progressives-depression,"Reform, world war & collapse",1913,1932,1,imperial german government,Imperial German Government,nation,25,5,2134,0,30397,0.011715089034676664,0.0,6.599735048330506,1.4281885833807781,4.621052937356319,0,25,AI only,Imperial German Government,,adversarial,/the-presidency/presidential-speeches/april-19-1916-message-regarding-german-actions,0,"April 19, 1916: Message Regarding German Actions",https://millercenter.org/the-presidency/presidential-speeches/april-19-1916-message-regarding-german-actions,Woodrow Wilson,Woodrow Wilson,False,"Gentlemen of the Congress: A situation has arisen in the foreign relations of the country of which it is my plain duty to inform you very frankly. It will be recalled that in February, 1915, the Imperial German Government announced its intention to treat the waters surrounding Great Britain and Ireland as embraced within the seat of war and to destroy all merchant ships owned by its enemies that might be found within any part of that portion of the high seas, and that it warned all vessels, of neutral as well as of belligerent ownership, to keep out of the waters it had thus proscribed or else enter them at their peril. The Government of the United States earnestly protested.",5,2,0.5,0.5,era-distinctive-reference-v1
progressives-depression,"Reform, world war & collapse",1913,1932,2,democratic candidate,Democratic candidate,person,25,3,2134,0,30397,0.011715089034676664,0.0,6.599735048330506,1.4281885833807781,4.621052937356319,0,25,AI only,Democratic candidate,,adversarial,/the-presidency/presidential-speeches/november-5-1932-campaign-speech-st-paul-minnesota,28,"November 5, 1932: Campaign speech in St Paul Minnesota",https://millercenter.org/the-presidency/presidential-speeches/november-5-1932-campaign-speech-st-paul-minnesota,Herbert Hoover,Herbert Hoover,False,"We stopped this bill, but it is still on their political calendar. 10. They passed the cash prepayment of the bonus calling for immediate expenditure of $2,300 million and for actual increase in liabilities of the Federal Government over the original act by $1,300 million. We stopped this bill, but it is still on their political calendar. 11. They passed the provision for the issuance of over $2,200 million of greenback currency, a reversion to vicious practices already demonstrated in the last hundred years as the most destructive to labor, agriculture, and business. We stopped this bill and even as late as last night the Democratic candidate failed to frankly disavow it. 12. They passed the Rainey bill providing for direct personal banking for every conceivable purpose on every conceivable security to everyone who wants money, and thus the most destructive entry of the Government into private business in a fashion that violates every principle of our Nation.",5,2,0.5,0.5,era-distinctive-reference-v1
progressives-depression,"Reform, world war & collapse",1913,1932,3,governor roosevelt,Governor Roosevelt,person,10,3,2134,0,30397,0.004686035613870665,0.0,5.70534632533913,1.447667673075667,3.9410608052176364,0,10,AI only,Governor Roosevelt,,adversarial,/the-presidency/presidential-speeches/november-5-1932-campaign-speech-st-paul-minnesota,32,"November 5, 1932: Campaign speech in St Paul Minnesota",https://millercenter.org/the-presidency/presidential-speeches/november-5-1932-campaign-speech-st-paul-minnesota,Herbert Hoover,Herbert Hoover,False,"19. The Democratic Party makes its contribution to the emergency by proposing to reduce the tariff to a ""competitive tariff for revenue."" Their candidate states that he supports this promise 100 percent. A competitive tariff today would be ruinous to American agriculture and industry. These are the only reliefs to this emergency that I can find in the whole Democratic program. They are mostly destructive. I have given you some of the items of the Republican program. I submit to you this collection of 19 items which have been and are proposed to the American people. Governor Roosevelt in his address of last night stated: ""I have been scrupulously careful to make no idle promises, to raise no false hopes."" In St.",5,2,0.5,0.5,era-distinctive-reference-v1
progressives-depression,"Reform, world war & collapse",1913,1932,4,federal farm board,Federal Farm Board,institution,6,6,2134,0,30397,0.0028116213683223993,0.0,5.223892219363903,1.467770031616561,3.5590672290879617,1,5,AI + NER,Federal Farm Board,Federal Farm Board,favorable,/the-presidency/presidential-speeches/june-11-1929-message-regarding-farm-bill,0,"June 11, 1929: Message Regarding the Farm Bill",https://millercenter.org/the-presidency/presidential-speeches/june-11-1929-message-regarding-farm-bill,Herbert Hoover,Herbert Hoover,False,"THE VOTE in the Senate today at best adds further delay to farm relief and may gravely jeopardize the enactment of legislation. In rejecting the report of the Senate and House conferees, which report was agreed to by members of both parties, the Senate has in effect rejected a bill which provides for the creation of the most important agency ever set up in the Government to assist an industry--the proposed Federal Farm Board, endowed with extraordinary authority to reorganize the marketing system in the interest of the farmer; to stabilize his industry and to carry out these arrangements in conjunction with farm cooperatives, with a capital of $500 million as an earnest of the seriousness of the work. It is a proposal for steady upbuilding of agriculture onto firm foundations of equality with other industry and would remove the agricultural problem from politics and place it in the realm of business.",5,2,0.5,0.5,era-distinctive-reference-v1
progressives-depression,"Reform, world war & collapse",1913,1932,5,german people,German people,nation,6,3,2134,0,30397,0.0028116213683223993,0.0,5.223892219363903,1.467770031616561,3.5590672290879617,0,6,AI only,German people,,favorable,/the-presidency/presidential-speeches/april-2-1917-address-congress-requesting-declaration-war,17,"April 2, 1917: Address to Congress Requesting a Declaration of War Against Germany",https://millercenter.org/the-presidency/presidential-speeches/april-2-1917-address-congress-requesting-declaration-war,Woodrow Wilson,Woodrow Wilson,False,"We have no quarrel with the German people. We have no feeling toward them but one of sympathy and friendship. It was not upon their impulse that their government acted in entering this war. It was not with their previous knowledge or approval. It was a war determined upon as wars used to be determined upon in the old, unhappy days when peoples were nowhere consulted by their rulers and wars were provoked and waged in the interest of dynasties or of little groups of ambitious men who were accustomed to use their fellowmen as pawns and tools.",5,2,0.5,0.5,era-distinctive-reference-v1
war-new-deal,"New Deal, world war & settlement",1933,1952,1,axis,Axis,group,10,6,1409,0,31122,0.007097232079488999,0.0,6.1463384380238555,1.4477516248446862,4.245437085027088,2,8,AI + NER,Axis,Axis,adversarial,/the-presidency/presidential-speeches/january-7-1943-state-union-address,2,"January 7, 1943: State of the Union Address",https://millercenter.org/the-presidency/presidential-speeches/january-7-1943-state-union-address,Franklin D. Roosevelt,Franklin D. Roosevelt,False,"Of continuing importance in the year 1942 were the unending and bitterly contested battles of the convoy routes, and the gradual passing of air superiority from the Axis to the United Nations. The Axis powers knew that they must win the war in 1942 - or eventually lose everything. I do not need to tell you that our enemies did not win the war in 1942. In the Pacific area, our most important victory in 1942 was the air and naval battle off Midway Island. That action is historically important because it secured for our use communication lines stretching thousands of miles in every direction. In placing this emphasis on the Battle of Midway, I am not unmindful of other successful actions in the Pacific, in the air and on land and afloat, especially those on the Coral Sea and New Guinea and in the Solomon Islands.",5,2,0.5,0.5,era-distinctive-reference-v1
war-new-deal,"New Deal, world war & settlement",1933,1952,2,nazi,Nazi,group,8,5,1409,0,31122,0.0056777856635912,0.0,5.933601282707314,1.4554699279427428,4.076759793377701,8,0,AI + NER,Nazi,Nazi,adversarial,/the-presidency/presidential-speeches/april-28-1942-fireside-chat-21-sacrifice,2,"April 28, 1942: Fireside Chat 21: On Sacrifice",https://millercenter.org/the-presidency/presidential-speeches/april-28-1942-fireside-chat-21-sacrifice,Franklin D. Roosevelt,Franklin D. Roosevelt,False,"In the Mediterranean area, matters remain on the surface much as they were. But the situation there is receiving very careful attention. Recently we (have) received news of a change in government in what we used to know as the Republic of France -a name dear to the hearts of all lovers of liberty -- a name and an institution which we hope will soon be restored to full dignity. Throughout the Nazi occupation of France, we have hoped for the maintenance of a French Government which would strive to regain independence, to reestablish the principles of ""Liberty, Equality and Fraternity, "" and to restore the historic culture of France. Our policy has been consistent from the very beginning. However, we are now greatly concerned lest those who have recently come to power may seek to force the brave French people into submission to Nazi despotism.",5,2,0.5,0.5,era-distinctive-reference-v1
