candidate_id,edge_id,source_president_profile_id,source_president_name,target_president_profile_id,target_president_name,doc_name,para_idx,speech_date,story_era_id,story_era_label,speech_title,source_url,raw_mention,function,stance,evidence_span,rationale,quotation_status,target_status,rubric_version,evidence_status,annotation_speaker,source_document_owner_profile_id,source_document_owner,cross_owner
77d3bee0be8dd21738bf323d,invocation_edge_068ee80c2522495ad3e382e27c84ad79cc65b704c737b1e104782a2dbb667ace,george-w-bush,George W. Bush,harry-s-truman,Harry S. Truman,/the-presidency/presidential-speeches/june-6-2002-address-nation-department-homeland-security,15,2002-06-07,post-cold-war,Conservative turn & always-on presidency,"June 6, 2002: Address to the Nation on the Department of Homeland Security",https://millercenter.org/the-presidency/presidential-speeches/june-6-2002-address-nation-department-homeland-security,Truman,other/unclear,neutral,"During his presidency, Harry Truman recognized that our nation's fragmented defenses had to be reorganized to win the Cold War.",Fixed-rubric classification from the supplied sentence context.,narration,former_president,invocation-v2-rubric-1,AI-classified; not human-validated,George W. Bush,george-w-bush,George W. Bush,false
f196f7ac04d40ec257efa8d2,invocation_edge_068ee80c2522495ad3e382e27c84ad79cc65b704c737b1e104782a2dbb667ace,george-w-bush,George W. Bush,harry-s-truman,Harry S. Truman,/the-presidency/presidential-speeches/july-17-2004-remarks-national-security-and-war-effort,5,2004-07-17,post-cold-war,Conservative turn & always-on presidency,"July 17, 2004: Remarks on National Security and the War Effort",https://millercenter.org/the-presidency/presidential-speeches/july-17-2004-remarks-national-security-and-war-effort,President Truman,other/unclear,neutral,President Truman considered George C.,Fixed-rubric classification from the supplied sentence context.,narration,former_president,invocation-v2-rubric-1,AI-classified; not human-validated,George W. Bush,george-w-bush,George W. Bush,false
ab10f121a038f5905b3cf196,invocation_edge_068ee80c2522495ad3e382e27c84ad79cc65b704c737b1e104782a2dbb667ace,george-w-bush,George W. Bush,harry-s-truman,Harry S. Truman,/the-presidency/presidential-speeches/september-3-2004-remarks-republican-national-convention,42,2004-09-03,post-cold-war,Conservative turn & always-on presidency,"September 3, 2004: Remarks at the Republican National Convention",https://millercenter.org/the-presidency/presidential-speeches/september-3-2004-remarks-republican-national-convention,Truman,other/unclear,neutral,"Fortunately, we had a resolute president named Truman, who, with the American people, persevered, knowing that a new democracy at the center of Europe would lead to stability and peace.",Fixed-rubric classification from the supplied sentence context.,narration,former_president,invocation-v2-rubric-1,AI-classified; not human-validated,George W. Bush,george-w-bush,George W. Bush,false
fe2fb80d1d16cc9588ae7ab6,invocation_edge_068ee80c2522495ad3e382e27c84ad79cc65b704c737b1e104782a2dbb667ace,george-w-bush,George W. Bush,harry-s-truman,Harry S. Truman,/the-presidency/presidential-speeches/january-31-2006-state-union-address,22,2006-01-31,post-cold-war,Conservative turn & always-on presidency,"January 31, 2006: State of the Union Address",https://millercenter.org/the-presidency/presidential-speeches/january-31-2006-state-union-address,Truman,other/unclear,neutral,"American leaders - from Roosevelt to Truman to Kennedy to Reagan - rejected isolation and retreat, because they knew that America is always more secure when freedom is on the march.",Fixed-rubric classification from the supplied sentence context.,narration,former_president,invocation-v2-rubric-1,AI-classified; not human-validated,George W. Bush,george-w-bush,George W. Bush,false
a93b9e4efc920e2e019c8bef,invocation_edge_068ee80c2522495ad3e382e27c84ad79cc65b704c737b1e104782a2dbb667ace,george-w-bush,George W. Bush,harry-s-truman,Harry S. Truman,/the-presidency/presidential-speeches/january-23-2007-state-union-address,0,2007-01-23,post-cold-war,Conservative turn & always-on presidency,"January 23, 2007: State of the Union Address",https://millercenter.org/the-presidency/presidential-speeches/january-23-2007-state-union-address,Truman,other/unclear,neutral,", from Baltimore, Maryland, saw Presidents Roosevelt and Truman at this rostrum.",Fixed-rubric classification from the supplied sentence context.,narration,former_president,invocation-v2-rubric-1,AI-classified; not human-validated,George W. Bush,george-w-bush,George W. Bush,false
4cc1fa30ff2645d0f7cbc53a,invocation_edge_07e90775a7423f7f93ac169774f35b002e93920dce2499d116a1c05e794c849d,james-k-polk,James K. Polk,james-monroe,James Monroe,/the-presidency/presidential-speeches/december-2-1845-first-annual-message,25,1845-12-02,expansion,The continental republic,"December 2, 1845: First Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-2-1845-first-annual-message,Mr. Monroe,institutional precedent,neutral,"These negotiations took place at London in the years 1818, 1824, and 1826--the two first under the Administration of Mr.",Fixed-rubric classification from the supplied sentence context.,narration,former_president,invocation-v2-rubric-1,AI-classified; not human-validated,James K. Polk,james-k-polk,James K. Polk,false
42e31948c0c7f3dad169e893,invocation_edge_07e90775a7423f7f93ac169774f35b002e93920dce2499d116a1c05e794c849d,james-k-polk,James K. Polk,james-monroe,James Monroe,/the-presidency/presidential-speeches/december-2-1845-first-annual-message,46,1845-12-02,expansion,The continental republic,"December 2, 1845: First Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-2-1845-first-annual-message,Mr. Monroe,other/unclear,neutral,In the existing circumstances of the world the present is deemed a proper occasion to reiterate and reaffirm the principle avowed by Mr.,Fixed-rubric classification from the supplied sentence context.,narration,former_president,invocation-v2-rubric-1,AI-classified; not human-validated,James K. Polk,james-k-polk,James K. Polk,false
24b432a9ed3b806e621772c5,invocation_edge_07e90775a7423f7f93ac169774f35b002e93920dce2499d116a1c05e794c849d,james-k-polk,James K. Polk,james-monroe,James Monroe,/the-presidency/presidential-speeches/december-7-1847-third-annual-message,24,1847-12-07,expansion,The continental republic,"December 7, 1847: Third Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-7-1847-third-annual-message,President Monroe,other/unclear,neutral,"Should any foreign government attempt to possess it as a colony, or otherwise to incorporate it with itself, the principle avowed by President Monroe in 1824, and reaffirmed in my first annual message, that no foreign power shall with our consent be permitted to plant or establish any new colony or dominion on any part of the North American continent must be maintained.",Fixed-rubric classification from the supplied sentence context.,narration,former_president,invocation-v2-rubric-1,AI-classified; not human-validated,James K. Polk,james-k-polk,James K. Polk,false
75aa2cc58342402b1d536c47,invocation_edge_08994b9f1ac30a5977b553a6fcd3f95cdffd2ab67d7b9459aa92b7fa02485f35,james-buchanan,James Buchanan,thomas-jefferson,Thomas Jefferson,/the-presidency/presidential-speeches/december-6-1858-second-annual-message,58,1858-12-06,civil-war-reconstruction,Sectional crisis & constitutional rupture,"December 6, 1858: Second Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-6-1858-second-annual-message,Mr. Jefferson,legacy/inheritance,neutral,I am encouraged to make this suggestion by the example of Mr.,Fixed-rubric classification from the supplied sentence context.,narration,former_president,invocation-v2-rubric-1,AI-classified; not human-validated,James Buchanan,james-buchanan,James Buchanan,false
d8cd97627122207639163e33,invocation_edge_08994b9f1ac30a5977b553a6fcd3f95cdffd2ab67d7b9459aa92b7fa02485f35,james-buchanan,James Buchanan,thomas-jefferson,Thomas Jefferson,/the-presidency/presidential-speeches/june-22-1860-addendum-march-28-message-congress,12,1860-06-22,civil-war-reconstruction,Sectional crisis & constitutional rupture,"June 22, 1860: Addendum to March 28 Message to Congress",https://millercenter.org/the-presidency/presidential-speeches/june-22-1860-addendum-march-28-message-congress,Mr. Jefferson,other/unclear,neutral,And in the expressive and pointed language of Mr.,Fixed-rubric classification from the supplied sentence context.,narration,former_president,invocation-v2-rubric-1,AI-classified; not human-validated,James Buchanan,james-buchanan,James Buchanan,false
f2df31659e966917b5aab1b5,invocation_edge_08994b9f1ac30a5977b553a6fcd3f95cdffd2ab67d7b9459aa92b7fa02485f35,james-buchanan,James Buchanan,thomas-jefferson,Thomas Jefferson,/the-presidency/presidential-speeches/december-3-1860-fourth-annual-message,52,1860-12-03,civil-war-reconstruction,Sectional crisis & constitutional rupture,"December 3, 1860: Fourth Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-3-1860-fourth-annual-message,President Jefferson,institutional precedent,neutral,"Again the Constitution was amended by the same process, after the election of President Jefferson by the House of Representatives, in February, 1803.",Fixed-rubric classification from the supplied sentence context.,narration,former_president,invocation-v2-rubric-1,AI-classified; not human-validated,James Buchanan,james-buchanan,James Buchanan,false
ae144221d14ae22ed1d6f4f5,invocation_edge_089f5ca4f394c73a9c1f41cc06dbf21f2c1406ca60084669972f917f31308800,ulysses-s-grant,Ulysses S. Grant,james-monroe,James Monroe,/the-presidency/presidential-speeches/may-31-1870-message-regarding-dominican-republic-annexation,1,1870-05-31,gilded-age,Administrative-industrial order,"May 31, 1870: Message Regarding Dominican Republic Annexation",https://millercenter.org/the-presidency/presidential-speeches/may-31-1870-message-regarding-dominican-republic-annexation,President Monroe,other/unclear,neutral,"The doctrine promulgated by President Monroe has been adhered to by all political parties, and I now deem it proper to assert the equally important principle that hereafter no territory on this continent shall be regarded as subject of transfer to a European power.",Fixed-rubric classification from the supplied sentence context.,narration,former_president,invocation-v2-rubric-1,AI-classified; not human-validated,Ulysses S. Grant,ulysses-s-grant,Ulysses S. Grant,false
72aab985f7f3c41b20e3d564,invocation_edge_089f5ca4f394c73a9c1f41cc06dbf21f2c1406ca60084669972f917f31308800,ulysses-s-grant,Ulysses S. Grant,james-monroe,James Monroe,/the-presidency/presidential-speeches/may-31-1870-message-regarding-dominican-republic-annexation,6,1870-05-31,gilded-age,Administrative-industrial order,"May 31, 1870: Message Regarding Dominican Republic Annexation",https://millercenter.org/the-presidency/presidential-speeches/may-31-1870-message-regarding-dominican-republic-annexation,Monroe,other/unclear,positive,"The acquisition of San Domingo is an adherence to the ""Monroe doctrine;"" it is a measure of national protection; it is asserting our just claim to a controlling influence over the great commercial traffic soon to flow from east to west by the way of the Isthmus of Darien; it is to build up our merchant marine; it is to furnish new markets for the products of our farms, shops, and manufactories; it is to make slavery insupportable in Cuba and Porto Rico at once and ultimately so in Brazil; it is to settle the unhappy condition of Cuba, and end an exterminating conflict; it is to provide honest means of paying our honest debts, without overtaxing the people; it is to furnish our citizens with the necessaries of everyday life at cheaper rates than ever before; and it is, in fine, a rapid stride toward that greatness which the intelligence, industry, and enterprise of the citizens of the United States entitle this country to assume among nations.",Fixed-rubric classification from the supplied sentence context.,deliberate_quotation,former_president,invocation-v2-rubric-1,AI-classified; not human-validated,Ulysses S. Grant,ulysses-s-grant,Ulysses S. Grant,false
cf1e745d78fbcc4ee44c6933,invocation_edge_089f5ca4f394c73a9c1f41cc06dbf21f2c1406ca60084669972f917f31308800,ulysses-s-grant,Ulysses S. Grant,james-monroe,James Monroe,/the-presidency/presidential-speeches/december-5-1870-second-annual-message,12,1870-12-05,gilded-age,Administrative-industrial order,"December 5, 1870: Second Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-5-1870-second-annual-message,Mr. Monroe,policy inheritance,neutral,"Our policy should be shaped, in view of this probability, so as to ally the commercial interests of the Spanish American States more closely to our own, and thus give the United States all the preeminence and all the advantage which Mr.",Fixed-rubric classification from the supplied sentence context.,narration,former_president,invocation-v2-rubric-1,AI-classified; not human-validated,Ulysses S. Grant,ulysses-s-grant,Ulysses S. Grant,false
e56f68bce8e6d6c67281671d,invocation_edge_089f5ca4f394c73a9c1f41cc06dbf21f2c1406ca60084669972f917f31308800,ulysses-s-grant,Ulysses S. Grant,james-monroe,James Monroe,/the-presidency/presidential-speeches/december-5-1870-second-annual-message,17,1870-12-05,gilded-age,Administrative-industrial order,"December 5, 1870: Second Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-5-1870-second-annual-message,Monroe,other/unclear,positive,"The acquisition of San Domingo is an adherence to the ""Monroe doctrine;"" it is a measure of national protection; it is asserting our just claim to a controlling influence over the great commercial traffic soon to flow from west to east by way of the Isthmus of Darien; it is to build up our merchant marine; it is to furnish new markets for the products of our farms, shops, and manufactories; it is to make slavery insupportable in Cuba and Porto Rico at once, and ultimately so in Brazil; it is to settle the unhappy condition of Cuba and end an exterminating conflict; it is to provide honest means of paying our honest debts without overtaxing the people; it is to furnish our citizens with the necessaries of everyday life at cheaper rates than ever before; and it is, in fine, a rapid stride toward that greatness which the intelligence, industry, and enterprise of the citizens of the United States entitle this country to assume among nations.",Fixed-rubric classification from the supplied sentence context.,deliberate_quotation,former_president,invocation-v2-rubric-1,AI-classified; not human-validated,Ulysses S. Grant,ulysses-s-grant,Ulysses S. Grant,false
104723849876a79592d9b551,invocation_edge_089f5ca4f394c73a9c1f41cc06dbf21f2c1406ca60084669972f917f31308800,ulysses-s-grant,Ulysses S. Grant,james-monroe,James Monroe,/the-presidency/presidential-speeches/may-4-1876-message-presidential-powers-and-obligations,11,1876-05-04,gilded-age,Administrative-industrial order,"May 4, 1876: Message on Presidential Powers and Obligations",https://millercenter.org/the-presidency/presidential-speeches/may-4-1876-message-presidential-powers-and-obligations,President Monroe,other/unclear,neutral,"President Monroe was absent from the capital during his Presidential service of eight years seven hundred and eight days, independent of the year 1824 and the two months of 1825, for which period no data are found.",Fixed-rubric classification from the supplied sentence context.,narration,former_president,invocation-v2-rubric-1,AI-classified; not human-validated,Ulysses S. Grant,ulysses-s-grant,Ulysses S. Grant,false
c15ca8ab243080cf6f6b6421,invocation_edge_0925bc106679a2eb5466cd9c172b454a917e5cb8871863bce5c5e03a45d8e60f,harry-s-truman,Harry S. Truman,herbert-hoover,Herbert Hoover,/the-presidency/presidential-speeches/october-22-1952-rear-platform-remarks,4,1952-10-22,war-new-deal,"New Deal, world war & settlement","October 22, 1952: Rear Platform Remarks",https://millercenter.org/the-presidency/presidential-speeches/october-22-1952-rear-platform-remarks,Herbert Hoover,other/unclear,positive,"Now, any time I mention the great depression, the Republicans yell that we are just running against Herbert Hoover.",Fixed-rubric classification from the supplied sentence context.,narration,former_president,invocation-v2-rubric-1,AI-classified; not human-validated,Harry S. Truman,harry-s-truman,Harry S. Truman,false
f6c9c31f77289c229bc8b5eb,invocation_edge_0925bc106679a2eb5466cd9c172b454a917e5cb8871863bce5c5e03a45d8e60f,harry-s-truman,Harry S. Truman,herbert-hoover,Herbert Hoover,/the-presidency/presidential-speeches/october-22-1952-rear-platform-remarks,4,1952-10-22,war-new-deal,"New Deal, world war & settlement","October 22, 1952: Rear Platform Remarks",https://millercenter.org/the-presidency/presidential-speeches/october-22-1952-rear-platform-remarks,Hoover,policy inheritance,neutral,"And for another thing, the Republican record in Congress during all the years since Hoover's time, shows they haven't learned a thing, and probably will act as they did before, and just like he did, if they got in again.",Fixed-rubric classification from the supplied sentence context.,narration,former_president,invocation-v2-rubric-1,AI-classified; not human-validated,Harry S. Truman,harry-s-truman,Harry S. Truman,false
0c613cb7f10f470082c6fa28,invocation_edge_0a54a4a30bb7f6877943e08fb5eef50dfacab1aad34773a115c5db9f11b2c827,theodore-roosevelt,Theodore Roosevelt,abraham-lincoln,Abraham Lincoln,/the-presidency/presidential-speeches/december-3-1901-first-annual-message,0,1901-12-03,gilded-age,Administrative-industrial order,"December 3, 1901: First Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-3-1901-first-annual-message,President Lincoln,institutional precedent,neutral,"Both President Lincoln and President Garfield were killed by assassins of types unfortunately not uncommon in history; President Lincoln falling a victim to the terrible passions aroused by four years of civil war, and President Garfield to the revengeful vanity of a disappointed office-seeker.",Fixed-rubric classification from the supplied sentence context.,narration,former_president,invocation-v2-rubric-1,AI-classified; not human-validated,Theodore Roosevelt,theodore-roosevelt,Theodore Roosevelt,false
84dd347e85496de0a3413636,invocation_edge_0a54a4a30bb7f6877943e08fb5eef50dfacab1aad34773a115c5db9f11b2c827,theodore-roosevelt,Theodore Roosevelt,abraham-lincoln,Abraham Lincoln,/the-presidency/presidential-speeches/december-3-1901-first-annual-message,0,1901-12-03,gilded-age,Administrative-industrial order,"December 3, 1901: First Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-3-1901-first-annual-message,President Lincoln,institutional precedent,neutral,"Both President Lincoln and President Garfield were killed by assassins of types unfortunately not uncommon in history; President Lincoln falling a victim to the terrible passions aroused by four years of civil war, and President Garfield to the revengeful vanity of a disappointed office-seeker.",Fixed-rubric classification from the supplied sentence context.,narration,former_president,invocation-v2-rubric-1,AI-classified; not human-validated,Theodore Roosevelt,theodore-roosevelt,Theodore Roosevelt,false
f5c0f59dad8d7c87b825f868,invocation_edge_0a54a4a30bb7f6877943e08fb5eef50dfacab1aad34773a115c5db9f11b2c827,theodore-roosevelt,Theodore Roosevelt,abraham-lincoln,Abraham Lincoln,/the-presidency/presidential-speeches/march-4-1905-inaugural-address,6,1905-03-04,gilded-age,Administrative-industrial order,"March 4, 1905: Inaugural Address",https://millercenter.org/the-presidency/presidential-speeches/march-4-1905-inaugural-address,Abraham Lincoln,other/unclear,positive,"To do so we must show, not merely in greatcrises, but in the everyday affairs of life, the qualities of practicalintelligence, of courage, of hardihood, and endurance, and above all thepower of devotion to a lofty ideal, which made great the men who foundedthis Republic in the days of Washington, which made great the men who preservedthis Republic in the days of Abraham Lincoln.",Fixed-rubric classification from the supplied sentence context.,narration,former_president,invocation-v2-rubric-1,AI-classified; not human-validated,Theodore Roosevelt,theodore-roosevelt,Theodore Roosevelt,false
dec4fe5417335927c35e40c3,invocation_edge_0ca6d702b44de2ed27d74db09aaa7c827691a08873f80c327bcead4600d32427,george-w-bush,George W. Bush,dwight-d-eisenhower,Dwight D. Eisenhower,/the-presidency/presidential-speeches/june-1-2002-graduation-speech-west-point,2,2002-06-01,post-cold-war,Conservative turn & always-on presidency,"June 1, 2002: Graduation Speech at West Point",https://millercenter.org/the-presidency/presidential-speeches/june-1-2002-graduation-speech-west-point,Eisenhower,legacy/inheritance,neutral,"You walk in the tradition of Eisenhower and MacArthur, Patton and Bradley - the commanders who saved a civilization.",Fixed-rubric classification from the supplied sentence context.,narration,former_president,invocation-v2-rubric-1,AI-classified; not human-validated,George W. Bush,george-w-bush,George W. Bush,false
0dd103645e12749ec056bf04,invocation_edge_0ca6d702b44de2ed27d74db09aaa7c827691a08873f80c327bcead4600d32427,george-w-bush,George W. Bush,dwight-d-eisenhower,Dwight D. Eisenhower,/the-presidency/presidential-speeches/june-1-2002-graduation-speech-west-point,27,2002-06-01,post-cold-war,Conservative turn & always-on presidency,"June 1, 2002: Graduation Speech at West Point",https://millercenter.org/the-presidency/presidential-speeches/june-1-2002-graduation-speech-west-point,Eisenhower,other/unclear,neutral,"Toward the end of his life, Dwight Eisenhower recalled the first day he stood on the plain at West Point.",Fixed-rubric classification from the supplied sentence context.,narration,former_president,invocation-v2-rubric-1,AI-classified; not human-validated,George W. Bush,george-w-bush,George W. Bush,false
79e9c22f98545a141e49363c,invocation_edge_0cb9207dff312ef7325ed0058507972a3e2c457ee883d1a03f9becf01f326c1b,calvin-coolidge,Calvin Coolidge,theodore-roosevelt,Theodore Roosevelt,/the-presidency/presidential-speeches/august-10-1927-address-opening-work-mount-rushmore-black-hills,4,1927-08-10,progressives-depression,"Reform, world war & collapse","August 10, 1927: Address at the Opening of Work on Mount Rushmore in Black Hills, SD",https://millercenter.org/the-presidency/presidential-speeches/august-10-1927-address-opening-work-mount-rushmore-black-hills,Theodore Roosevelt,other/unclear,neutral,That the principles for which these three men stood might be still more firmly established destiny raised up Theodore Roosevelt.,Fixed-rubric classification from the supplied sentence context.,narration,former_president,invocation-v2-rubric-1,AI-classified; not human-validated,Calvin Coolidge,calvin-coolidge,Calvin Coolidge,false
40eeb57262a3824397eacd35,invocation_edge_0d4aca2dcb7fd821f6dca8228bedd5336d1f3e302b6052afb632df7966f801e2,richard-m-nixon,Richard M. Nixon,john-f-kennedy,John F. Kennedy,/the-presidency/presidential-speeches/november-3-1969-address-nation-war-vietnam,4,1969-11-03,cold-war,Mature Cold War,"November 3, 1969: Address to the Nation on the War in Vietnam",https://millercenter.org/the-presidency/presidential-speeches/november-3-1969-address-nation-war-vietnam,President Kennedy,other/unclear,neutral,"Seven years ago, President Kennedy sent 16,000 military personnel to Vietnam as combat advisers.",Fixed-rubric classification from the supplied sentence context.,narration,former_president,invocation-v2-rubric-1,AI-classified; not human-validated,Richard M. Nixon,richard-m-nixon,Richard M. Nixon,false
