schema_version,contract_version,receipt_id,edge_id,scope_type,scope_id,scope_label,president_profile_id,president_name,topic_id,topic_level,topic_label,doc_name,para_idx,appearance_id,actual_speaker_profile_id,actual_speaker,source_document_owner_profile_id,source_document_owner,cross_owner,story_era_id,story_era_label,speech_date,speech_title,source_url,evidence_excerpt,selection_role,selection_position,evidence_policy
actual-speaker-topic-evidence-v1,actual-speaker-topic-network-v1,receipt_50778ef4ba96e294a28748f916dd6091a5e86895306dc3998d53b3ab8d296b9c,edge_bd6e65877d490b44030f5a0ce81c54000588cf964f786e3016d34f8e99b27e9b,corpus,all-corpus,All eligible corpus,barack-obama,Barack Obama,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,War & Military Affairs,/the-presidency/presidential-speeches/may-25-2011-address-british-parliament,6,appearance_adeec2f7099e586c9a4ed7d03fe3e93c03311758a2cd77965f0246ab5c7c681f,barack-obama,Barack Obama,barack-obama,Barack Obama,False,post-cold-war,Conservative turn & always-on presidency,2011-05-25,"May 25, 2011: Address to the British Parliament",https://millercenter.org/the-presidency/presidential-speeches/may-25-2011-address-british-parliament,"We are the allies who landed at Omaha and Gold, who sacrificed side by side to free a continent from the march of tyranny, and help prosperity flourish from the ruins of war. And with the founding of NATO -- a British idea -- we joined a transatlantic alliance that has ensured our security for over half a century. Together with our allies, we forged a lasti…",middle,17,"Deterministic audit examples, not representative samples or historical proof: select the first, lower-middle, and last qualifying actual-speaker appearance chronologically, deduplicate appearances, and take the lowest qualifying paragraph index within each selected appearance."
actual-speaker-topic-evidence-v1,actual-speaker-topic-network-v1,receipt_0a9e15fa73225667acd39c11e9f0cee3a2322f96b3fcf2853350de6e51175f91,edge_bd6e65877d490b44030f5a0ce81c54000588cf964f786e3016d34f8e99b27e9b,corpus,all-corpus,All eligible corpus,barack-obama,Barack Obama,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,War & Military Affairs,/the-presidency/presidential-speeches/january-10-2017-farewell-address-nation,11,appearance_736ecc854a114f408887a843208eb0022ef1925e51da56204cbba0fecf11585f,barack-obama,Barack Obama,barack-obama,Barack Obama,False,post-cold-war,Conservative turn & always-on presidency,2017-01-11,"January 10, 2017: Farewell Address to the Nation",https://millercenter.org/the-presidency/presidential-speeches/january-10-2017-farewell-address-nation,"There have been moments throughout our history that threatened that solidarity. The beginning of this century has been one of those times. A shrinking world, growing inequality; demographic change, and the specter of terrorism - these forces haven't just tested our security and our prosperity, but are testing our democracy as well. And how we meet these cha…",last,35,"Deterministic audit examples, not representative samples or historical proof: select the first, lower-middle, and last qualifying actual-speaker appearance chronologically, deduplicate appearances, and take the lowest qualifying paragraph index within each selected appearance."
actual-speaker-topic-evidence-v1,actual-speaker-topic-network-v1,receipt_1216f2b4156079348a358e16a04daeed78445d9d7b874631dd4d5b4fc144eca1,edge_ee1aff3dfdf31c0a80c398ebb9d6fbf20093d2a19f585d23674ccf7beebf9b0c,corpus,all-corpus,All eligible corpus,benjamin-harrison,Benjamin Harrison,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,War & Military Affairs,/the-presidency/presidential-speeches/march-4-1889-inaugural-address,16,appearance_e383ace113dcacf23d07018da4a46c97e599bc60d1ca2326f100ce643fd0d14f,benjamin-harrison,Benjamin Harrison,benjamin-harrison,Benjamin Harrison,False,gilded-age,Administrative-industrial order,1889-03-04,"March 4, 1889: Inaugural Address",https://millercenter.org/the-presidency/presidential-speeches/march-4-1889-inaugural-address,Our citizens domiciled for purposes of tradein all countries and in many of the islands of the sea demand and willhave our adequate care in their personal and commercial rights. The necessitiesof our Navy require convenient coaling stations and dock and harbor privileges.These and other trading privileges we will feel free to obtain only bymeans that do not…,first,0,"Deterministic audit examples, not representative samples or historical proof: select the first, lower-middle, and last qualifying actual-speaker appearance chronologically, deduplicate appearances, and take the lowest qualifying paragraph index within each selected appearance."
actual-speaker-topic-evidence-v1,actual-speaker-topic-network-v1,receipt_cb238842462e452e24cde9887d577308a42ef2ce3410bcccfedd99a73b802a55,edge_ee1aff3dfdf31c0a80c398ebb9d6fbf20093d2a19f585d23674ccf7beebf9b0c,corpus,all-corpus,All eligible corpus,benjamin-harrison,Benjamin Harrison,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,War & Military Affairs,/the-presidency/presidential-speeches/december-9-1891-third-annual-message,62,appearance_757357c42856a8ca9b639e6f69e4e81d0664cb3317eab1bbce9db8ae99a6a29a,benjamin-harrison,Benjamin Harrison,benjamin-harrison,Benjamin Harrison,False,gilded-age,Administrative-industrial order,1891-12-09,"December 9, 1891: Third Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-9-1891-third-annual-message,"The report of the Secretary of War exhibits the results of an intelligent, progressive, and businesslike administration of a Department which has been too much regarded as one of mere routine. The separation of Secretary Proctor from the Department by reason of his appointment as a Senator from the State of Vermont is a source of great regret to me and to h…",middle,3,"Deterministic audit examples, not representative samples or historical proof: select the first, lower-middle, and last qualifying actual-speaker appearance chronologically, deduplicate appearances, and take the lowest qualifying paragraph index within each selected appearance."
actual-speaker-topic-evidence-v1,actual-speaker-topic-network-v1,receipt_0f92f3ea2982287685fe9ae805902a1ba1b78724ae4448e5e55a25bd106b97f1,edge_ee1aff3dfdf31c0a80c398ebb9d6fbf20093d2a19f585d23674ccf7beebf9b0c,corpus,all-corpus,All eligible corpus,benjamin-harrison,Benjamin Harrison,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,War & Military Affairs,/the-presidency/presidential-speeches/december-6-1892-fourth-annual-message,55,appearance_3ff5961db1c21983f24f5e6cb3d41c3216899b5b5092bacbc25d5825437f142e,benjamin-harrison,Benjamin Harrison,benjamin-harrison,Benjamin Harrison,False,gilded-age,Administrative-industrial order,1892-12-06,"December 6, 1892: Fourth Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-6-1892-fourth-annual-message,"The report of the Secretary of War brings again to the attention of Congress some important suggestions as to the reorganization of the infantry and artillery arms of the service, which his predecessors have before urgently presented. Our Army is small, but its organization should all the more be put upon the most approved modern basis. The conditions upon…",last,6,"Deterministic audit examples, not representative samples or historical proof: select the first, lower-middle, and last qualifying actual-speaker appearance chronologically, deduplicate appearances, and take the lowest qualifying paragraph index within each selected appearance."
actual-speaker-topic-evidence-v1,actual-speaker-topic-network-v1,receipt_99e80a84795ecdcd636c4f5bf62251eec6b0bee36e40771c061373cdd49e345c,edge_a76707b34b6ad88be1666c5bb19bf25f82834a420c4107ad1b0fba8a935459ae,corpus,all-corpus,All eligible corpus,bill-clinton,Bill Clinton,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,War & Military Affairs,/the-presidency/presidential-speeches/january-20-1993-first-inaugural,8,appearance_b6b2c32257ca995b50ec963fc8374738003a41135c73d5454fd7b52e6a4909af,bill-clinton,Bill Clinton,bill-clinton,Bill Clinton,False,post-cold-war,Conservative turn & always-on presidency,1993-01-20,"January 20, 1993: First Inaugural",https://millercenter.org/the-presidency/presidential-speeches/january-20-1993-first-inaugural,"Clearly, America must continue to lead the world we did so much to make. While America rebuilds at home, we will not shrink from the challenges nor fail to seize the opportunities of this new world. Together with our friends and allies, we will work to shape change, lest it engulf us. When our vital interests are challenged or the will and conscience of the…",first,0,"Deterministic audit examples, not representative samples or historical proof: select the first, lower-middle, and last qualifying actual-speaker appearance chronologically, deduplicate appearances, and take the lowest qualifying paragraph index within each selected appearance."
actual-speaker-topic-evidence-v1,actual-speaker-topic-network-v1,receipt_065444613da13201a702b98b60a514ab6b59bd4b82a679a38f4eb40cb5ca3565,edge_a76707b34b6ad88be1666c5bb19bf25f82834a420c4107ad1b0fba8a935459ae,corpus,all-corpus,All eligible corpus,bill-clinton,Bill Clinton,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,War & Military Affairs,/the-presidency/presidential-speeches/july-19-1995-address-affirmative-action,19,appearance_de24eb78eae21fd7c2777bbf0d8eab8b9ae063779e6bdcdc858e9f14e8d01148,bill-clinton,Bill Clinton,bill-clinton,Bill Clinton,False,post-cold-war,Conservative turn & always-on presidency,1995-07-19,"July 19, 1995: Address on Affirmative Action",https://millercenter.org/the-presidency/presidential-speeches/july-19-1995-address-affirmative-action,"As President, I am proud to have the most diverse administration in history in my Cabinet, my agencies, and my staff. And I must say, I have been surprised at the criticism I have received from some quarters in my determination to achieve this. In the last 2 1/2 years, the most outstanding example of affirmative action in the United States, the Pentagon, ha…",middle,11,"Deterministic audit examples, not representative samples or historical proof: select the first, lower-middle, and last qualifying actual-speaker appearance chronologically, deduplicate appearances, and take the lowest qualifying paragraph index within each selected appearance."
actual-speaker-topic-evidence-v1,actual-speaker-topic-network-v1,receipt_361e1cbd4320daf93765fee1dcfe2f1da174c0e7080b9ce400b0fac739ca1fe9,edge_a76707b34b6ad88be1666c5bb19bf25f82834a420c4107ad1b0fba8a935459ae,corpus,all-corpus,All eligible corpus,bill-clinton,Bill Clinton,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,War & Military Affairs,/the-presidency/presidential-speeches/january-27-2000-state-union-address,58,appearance_e6991ec71e2a7d80ea205cad53c7c95ecd55f3030a62487d50b57ba73e2fc5fa,bill-clinton,Bill Clinton,bill-clinton,Bill Clinton,False,post-cold-war,Conservative turn & always-on presidency,2000-01-27,"January 27, 2000: State of the Union Address",https://millercenter.org/the-presidency/presidential-speeches/january-27-2000-state-union-address,"A second challenge we've got is to protect our own security from conflicts that pose the risk of wider war and threaten our common humanity. We can't prevent every conflict or stop every outrage. But where our interests are at stake and we can make a difference, we should be, and we must be, peacemakers. We should be proud of our role in bringing the Middle…",last,22,"Deterministic audit examples, not representative samples or historical proof: select the first, lower-middle, and last qualifying actual-speaker appearance chronologically, deduplicate appearances, and take the lowest qualifying paragraph index within each selected appearance."
actual-speaker-topic-evidence-v1,actual-speaker-topic-network-v1,receipt_bd6a3d87903bf92053dd696ac896b766073cb5bfcf4ba876846f907a6f4938c5,edge_68b7422422a92dea799be1586bdfb65bdfdb8963712f96a20b522efc7252a275,corpus,all-corpus,All eligible corpus,calvin-coolidge,Calvin Coolidge,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,War & Military Affairs,/the-presidency/presidential-speeches/december-6-1923-first-annual-message,34,appearance_7ce68cf36cb26f2908a7cb8405b27bf70e72c9b47a0bf9bb1e98c7ddb51240af,calvin-coolidge,Calvin Coolidge,calvin-coolidge,Calvin Coolidge,False,progressives-depression,"Reform, world war & collapse",1923-12-06,"December 6, 1923: First Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-6-1923-first-annual-message,"ARMY AND NAVY For several years we have been decreasing the personnel of the Army and Navy, and reducing their power to the danger point. Further reductions should not be made. The Army is a guarantee of the security of our citizens at home; the Navy is a guarantee of the security of our citizens abroad. Both of these services should be strengthened rather…",first,0,"Deterministic audit examples, not representative samples or historical proof: select the first, lower-middle, and last qualifying actual-speaker appearance chronologically, deduplicate appearances, and take the lowest qualifying paragraph index within each selected appearance."
actual-speaker-topic-evidence-v1,actual-speaker-topic-network-v1,receipt_db18b79c844169da28b6cf0cb084332debb1f4026fec85feca5ffd74034bc390,edge_68b7422422a92dea799be1586bdfb65bdfdb8963712f96a20b522efc7252a275,corpus,all-corpus,All eligible corpus,calvin-coolidge,Calvin Coolidge,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,War & Military Affairs,/the-presidency/presidential-speeches/december-8-1925-third-annual-message,4,appearance_492e3eadcc522b6a130acfad9db5971456d265943df137d697dfc6d87bfbdf0f,calvin-coolidge,Calvin Coolidge,calvin-coolidge,Calvin Coolidge,False,progressives-depression,"Reform, world war & collapse",1925-12-08,"December 8, 1925: Third Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-8-1925-third-annual-message,"That is the legal limitation within which the Congress can act, How it will, proceed within this limitation is always a question of policy. When the country is prosperous and free from debt, when the rate of taxation is low, opportunity exists for assuming new burdens and undertaking new enterprises. Such a condition now prevails only to a limited extent. A…",middle,4,"Deterministic audit examples, not representative samples or historical proof: select the first, lower-middle, and last qualifying actual-speaker appearance chronologically, deduplicate appearances, and take the lowest qualifying paragraph index within each selected appearance."
actual-speaker-topic-evidence-v1,actual-speaker-topic-network-v1,receipt_d8c2c05c8bf03f1cec47cf563f3fc429ee8a82ca02a7397071e26a68ae9fe426,edge_68b7422422a92dea799be1586bdfb65bdfdb8963712f96a20b522efc7252a275,corpus,all-corpus,All eligible corpus,calvin-coolidge,Calvin Coolidge,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,War & Military Affairs,/the-presidency/presidential-speeches/december-4-1928-sixth-annual-message,7,appearance_5c1638dde3b072ef20c42e6008a76fd04b5940a28e22e9fa61b2020e3f794642,calvin-coolidge,Calvin Coolidge,calvin-coolidge,Calvin Coolidge,False,progressives-depression,"Reform, world war & collapse",1928-12-04,"December 4, 1928: Sixth Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-4-1928-sixth-annual-message,"The enormous savings made have not been at the expense of any legitimate public need. The Government plant has been kept up and many improvements are tinder way, while its service is fully manned and the general efficiency of operation has increased. We have been enabled to undertake many new enterprises. Among these are the adjusted compensation of the vet…",last,8,"Deterministic audit examples, not representative samples or historical proof: select the first, lower-middle, and last qualifying actual-speaker appearance chronologically, deduplicate appearances, and take the lowest qualifying paragraph index within each selected appearance."
actual-speaker-topic-evidence-v1,actual-speaker-topic-network-v1,receipt_43744a701ef47bf0d1ea680abcb1fd3e7a459c10cb2067b358909682a5cabb99,edge_febb3d59d06a53f281e3d64cf43e3380077acd5c3273863ae7630a2905cbf10a,corpus,all-corpus,All eligible corpus,chester-a-arthur,Chester A. Arthur,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,War & Military Affairs,/the-presidency/presidential-speeches/december-6-1881-first-annual-message,58,appearance_011860ecb2699e2d7e803f869ff4386a4a46c83a39213d0256ab029b98580b3b,chester-a-arthur,Chester A. Arthur,chester-a-arthur,Chester A. Arthur,False,gilded-age,Administrative-industrial order,1881-12-06,"December 6, 1881: First Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-6-1881-first-annual-message,"The accompanying report of the Secretary of War will make known to you the operations of that Department for the past year. He suggests measures for promoting the efficiency of the Army without adding to the number of its officers, and recommends the legislation necessary to increase the number of enlisted men to 30,000, the maximum allowed bylaw. This he d…",first,0,"Deterministic audit examples, not representative samples or historical proof: select the first, lower-middle, and last qualifying actual-speaker appearance chronologically, deduplicate appearances, and take the lowest qualifying paragraph index within each selected appearance."
